year,point,train_rmse,test_rmse
2011,1084,0.005502330889798465,0.01633237667653196
2012,896,0.005502330889798465,0.01633237667653196
2013,989,0.005502330889798465,0.01633237667653196
2014,1029,0.005502330889798465,0.01633237667653196
2015,1430,0.005502330889798465,0.01633237667653196
2016,1212,0.005502330889798465,0.01633237667653196
2017,640,0.005502330889798465,0.01633237667653196
2018,1600,0.005502330889798465,0.01633237667653196
2019,208,0.005502330889798465,0.01633237667653196
2020,552,0.005502330889798465,0.01633237667653196
2021,240,0.005502330889798465,0.01633237667653196
